filename,target_class,background_class,snr_db,predicted_class,alert_label,confidence,combined_confidence,target_score,correct,prob_chainsaw,prob_gunshot,prob_engine,prob_axe,prob_fire,prob_background
chainsaw_rain_snr+20_s00.wav,chainsaw,rain,20,chainsaw,chainsaw,0.9520779848098755,0.9520779848098755,0.9520779848098755,True,0.9520779848098755,0.014711405150592327,0.011406421661376953,0.008417822420597076,0.004912489093840122,0.008473874069750309
chainsaw_rain_snr+20_s01.wav,chainsaw,rain,20,chainsaw,chainsaw,0.8881059288978577,0.8881059288978577,0.8881059288978577,True,0.8881059288978577,0.017937088385224342,0.04631572589278221,0.018865853548049927,0.007741271518170834,0.02103416435420513
chainsaw_rain_snr+20_s02.wav,chainsaw,rain,20,chainsaw,chainsaw,0.9179112315177917,0.9179112315177917,0.9179112315177917,True,0.9179112315177917,0.01882285811007023,0.012638009153306484,0.020766397938132286,0.012050558812916279,0.017810968682169914
chainsaw_rain_snr+20_s03.wav,chainsaw,rain,20,chainsaw,chainsaw,0.9454696774482727,0.9454696774482727,0.9454696774482727,True,0.9454696774482727,0.007787003181874752,0.011778314597904682,0.012815006077289581,0.0053307125344872475,0.016819261014461517
chainsaw_rain_snr+20_s04.wav,chainsaw,rain,20,chainsaw,chainsaw,0.9151992201805115,0.9151992201805115,0.9151992201805115,True,0.9151992201805115,0.023357078433036804,0.013351909816265106,0.02013360522687435,0.016051748767495155,0.011906517669558525
chainsaw_rain_snr+20_s05.wav,chainsaw,rain,20,chainsaw,chainsaw,0.9355189800262451,0.9355189800262451,0.9355189800262451,True,0.9355189800262451,0.015606545843183994,0.00682477094233036,0.006683917250484228,0.012819677591323853,0.02254602126777172
chainsaw_rain_snr+20_s06.wav,chainsaw,rain,20,chainsaw,chainsaw,0.931121826171875,0.931121826171875,0.931121826171875,True,0.931121826171875,0.012958643026649952,0.02716573141515255,0.01046132855117321,0.006732324603945017,0.011560126207768917
chainsaw_rain_snr+20_s07.wav,chainsaw,rain,20,chainsaw,chainsaw,0.9137402772903442,0.9137402772903442,0.9137402772903442,True,0.9137402772903442,0.02657366916537285,0.014722154475748539,0.0067136636935174465,0.009945323690772057,0.02830488048493862
chainsaw_rain_snr+20_s08.wav,chainsaw,rain,20,chainsaw,chainsaw,0.8975377082824707,0.8975377082824707,0.8975377082824707,True,0.8975377082824707,0.01890553906559944,0.04091915860772133,0.008264688774943352,0.012310057878494263,0.022062858566641808
chainsaw_rain_snr+20_s09.wav,chainsaw,rain,20,chainsaw,chainsaw,0.9444496035575867,0.9444496035575867,0.9444496035575867,True,0.9444496035575867,0.013509940356016159,0.006346303503960371,0.00878665130585432,0.011569513939321041,0.015337994322180748
chainsaw_rain_snr+15_s00.wav,chainsaw,rain,15,chainsaw,chainsaw,0.9414247870445251,0.9414247870445251,0.9414247870445251,True,0.9414247870445251,0.01658410206437111,0.012855228036642075,0.00803361739963293,0.007876891642808914,0.013225384056568146
chainsaw_rain_snr+15_s01.wav,chainsaw,rain,15,chainsaw,chainsaw,0.9462310671806335,0.9462310671806335,0.9462310671806335,True,0.9462310671806335,0.013528983108699322,0.017466824501752853,0.010136771015822887,0.006162203848361969,0.006474161054939032
chainsaw_rain_snr+15_s02.wav,chainsaw,rain,15,chainsaw,chainsaw,0.9553962349891663,0.9553962349891663,0.9553962349891663,True,0.9553962349891663,0.01415183674544096,0.009466394782066345,0.005492852069437504,0.0044018602930009365,0.011090719141066074
chainsaw_rain_snr+15_s03.wav,chainsaw,rain,15,chainsaw,chainsaw,0.9360707998275757,0.9360707998275757,0.9360707998275757,True,0.9360707998275757,0.018754899501800537,0.015866277739405632,0.00799580942839384,0.00925225205719471,0.012059957720339298
chainsaw_rain_snr+15_s04.wav,chainsaw,rain,15,chainsaw,chainsaw,0.9126722812652588,0.9126722812652588,0.9126722812652588,True,0.9126722812652588,0.02445516362786293,0.026469692587852478,0.013344205915927887,0.01021847128868103,0.012840202078223228
chainsaw_rain_snr+15_s05.wav,chainsaw,rain,15,chainsaw,chainsaw,0.9101349115371704,0.9101349115371704,0.9101349115371704,True,0.9101349115371704,0.027691664174199104,0.018155375495553017,0.007948094047605991,0.009214518591761589,0.026855317875742912
chainsaw_rain_snr+15_s06.wav,chainsaw,rain,15,chainsaw,chainsaw,0.9344611167907715,0.9344611167907715,0.9344611167907715,True,0.9344611167907715,0.01248942967504263,0.013405920006334782,0.012397775426506996,0.01398584432899952,0.013259980827569962
chainsaw_rain_snr+15_s07.wav,chainsaw,rain,15,chainsaw,chainsaw,0.9246072173118591,0.9246072173118591,0.9246072173118591,True,0.9246072173118591,0.020614229142665863,0.0058713993057608604,0.017173536121845245,0.008231406100094318,0.02350226603448391
chainsaw_rain_snr+15_s08.wav,chainsaw,rain,15,chainsaw,chainsaw,0.8991292715072632,0.8991292715072632,0.8991292715072632,True,0.8991292715072632,0.013734528794884682,0.04855726286768913,0.013800479471683502,0.008766071870923042,0.01601243205368519
chainsaw_rain_snr+15_s09.wav,chainsaw,rain,15,chainsaw,chainsaw,0.9277289509773254,0.9277289509773254,0.9277289509773254,True,0.9277289509773254,0.018473956733942032,0.007477042730897665,0.005622172728180885,0.025904234498739243,0.014793677255511284
chainsaw_rain_snr+10_s00.wav,chainsaw,rain,10,chainsaw,chainsaw,0.9173708558082581,0.9173708558082581,0.9173708558082581,True,0.9173708558082581,0.023808561265468597,0.006887873634696007,0.019479786977171898,0.012589621357619762,0.019863300025463104
chainsaw_rain_snr+10_s01.wav,chainsaw,rain,10,chainsaw,chainsaw,0.8573855757713318,0.8573855757713318,0.8573855757713318,True,0.8573855757713318,0.008178074844181538,0.08633897453546524,0.020760394632816315,0.008262291550636292,0.019074641168117523
