filename,target_class,background_class,snr_db,top1_class,top1_score,primary_in_top1,primary_in_top5,extended_in_top5,family_in_top1,family_in_top5,target_score_primary,target_score_extended,family_mean_chainsaw,family_max_chainsaw,hybrid_chainsaw,family_mean_gunshot,family_max_gunshot,hybrid_gunshot,family_mean_engine,family_max_engine,hybrid_engine,family_mean_axe,family_max_axe,hybrid_axe,family_mean_fire,family_max_fire,hybrid_fire
chainsaw_rain_snr+20_s00.wav,chainsaw,rain,20,Vehicle,0.3320674002170563,False,True,True,False,True,0.2912316918373108,0.2912316918373108,0.2912316918373108,0.9127072691917419,0.9127072691917419,0.00017297266458626837,0.001449877512641251,0.00017297266458626837,0.3320674002170563,0.9081473350524902,0.9081473350524902,0.019821036607027054,0.08667056262493134,0.019821036607027054,0.0005414674524217844,0.0018356090877205133,0.0005414674524217844
chainsaw_rain_snr+20_s01.wav,chainsaw,rain,20,Engine,0.3439233601093292,False,True,True,False,True,0.29441097378730774,0.29441097378730774,0.29441097378730774,0.87586510181427,0.87586510181427,0.0009778023231774569,0.007842405699193478,0.0009778023231774569,0.3439233601093292,0.8428204655647278,0.8428204655647278,0.08411897718906403,0.3385885953903198,0.08411897718906403,0.0034584887325763702,0.017628302797675133,0.0034584887325763702
chainsaw_rain_snr+20_s02.wav,chainsaw,rain,20,Chainsaw,0.37011241912841797,True,True,True,True,True,0.37011241912841797,0.37011241912841797,0.37011241912841797,0.9519965052604675,0.9519965052604675,0.0007479843916371465,0.004350322298705578,0.0007479843916371465,0.3432806134223938,0.9349966049194336,0.9349966049194336,0.15130960941314697,0.5368645787239075,0.15130960941314697,0.002766622696071863,0.01864917017519474,0.002766622696071863
chainsaw_rain_snr+20_s03.wav,chainsaw,rain,20,Vehicle,0.43016815185546875,False,False,False,False,False,0.010219777934253216,0.08008372038602829,0.014744872227311134,0.041851360350847244,0.014744872227311134,0.000761990319006145,0.004075515083968639,0.000761990319006145,0.43016815185546875,0.9046449065208435,0.9046449065208435,0.0022687367163598537,0.01002146303653717,0.0022687367163598537,0.0038879881612956524,0.01485188864171505,0.0038879881612956524
chainsaw_rain_snr+20_s04.wav,chainsaw,rain,20,Vehicle,0.3893907070159912,False,True,True,False,True,0.22637709975242615,0.22637709975242615,0.22637709975242615,0.8265717029571533,0.8265717029571533,0.00018041013390757143,0.0007133206818252802,0.00018041013390757143,0.3893907070159912,0.8009693026542664,0.8009693026542664,0.015835877507925034,0.06961435079574585,0.015835877507925034,0.0010686337482184172,0.004266461823135614,0.0010686337482184172
chainsaw_rain_snr+20_s05.wav,chainsaw,rain,20,Chainsaw,0.22782853245735168,True,True,True,True,True,0.22782853245735168,0.22782853245735168,0.22782853245735168,0.7521573305130005,0.7521573305130005,0.002500031376257539,0.01953122764825821,0.002500031376257539,0.2071067839860916,0.6510060429573059,0.6510060429573059,0.025036731734871864,0.11378061026334763,0.025036731734871864,0.0035701971501111984,0.024971581995487213,0.0035701971501111984
chainsaw_rain_snr+20_s06.wav,chainsaw,rain,20,Vehicle,0.6613931655883789,False,False,False,False,False,0.005357921589165926,0.05799055099487305,0.02173469588160515,0.10114682465791702,0.02173469588160515,0.00021504420146811754,0.0009670500294305384,0.00021504420146811754,0.6613931655883789,0.8260869383811951,0.6613931655883789,0.006175352726131678,0.047343842685222626,0.006175352726131678,0.003118989523500204,0.019017506390810013,0.003118989523500204
chainsaw_rain_snr+20_s07.wav,chainsaw,rain,20,Chainsaw,0.5966579914093018,True,True,True,True,True,0.5966579914093018,0.5966579914093018,0.5966579914093018,0.9837831854820251,0.9837831854820251,0.00011230258678551763,0.0006156695890240371,0.00011230258678551763,0.5548814535140991,0.9799647927284241,0.9799647927284241,0.021360252052545547,0.141099214553833,0.021360252052545547,0.0007812875555828214,0.0037856989074498415,0.0007812875555828214
chainsaw_rain_snr+20_s08.wav,chainsaw,rain,20,Chainsaw,0.4852909445762634,True,True,True,True,True,0.4852909445762634,0.4852909445762634,0.4852909445762634,0.9772935509681702,0.9772935509681702,0.00016026374942157418,0.0008036611834540963,0.00016026374942157418,0.4819618761539459,0.9700223803520203,0.9700223803520203,0.011584100313484669,0.0305684395134449,0.011584100313484669,0.00034585874527692795,0.001156151294708252,0.00034585874527692795
chainsaw_rain_snr+20_s09.wav,chainsaw,rain,20,Chainsaw,0.7082638144493103,True,True,True,True,True,0.7082638144493103,0.7082638144493103,0.7082638144493103,0.9943493604660034,0.9943493604660034,0.00037520533078350127,0.0035115766804665327,0.00037520533078350127,0.6943825483322144,0.9949945211410522,0.9949945211410522,0.03603321686387062,0.10880087316036224,0.03603321686387062,0.0008796069887466729,0.004070408176630735,0.0008796069887466729
